,Poet,birthday
80,Francis Ledwidge,1887-08-19 00:00:00
81,Jorie Graham,1950-05-09 00:00:00
82,Stephen Spender,1909-02-28 00:00:00
83,Charles Dickens,1812-02-07 00:00:00
84,John Hollander,1929-10-28 00:00:00
85,Robert Fernandez,1986-09-29 00:00:00
86,Timothy Thomas Fortune,1856-10-03 00:00:00
87,Louise Erdrich,1954-06-07 00:00:00
88,Stephen Vincent Benét,1898-07-22 00:00:00
89,Marie-Claire Bancquart,1932-07-21 00:00:00
90,James Clerk Maxwell,1831-06-13 00:00:00
91,Zbigniew Herbert,1924-10-29 00:00:00
92,Edith Södergran,1892-04-04 00:00:00
93,Fay Zwicky,1933-07-04 00:00:00
94,Vievee Francis,1963-12-31 00:00:00
95,August Kleinzahler,1949-12-10 00:00:00
96,Reginald Dwayne Betts,1980-11-05 00:00:00
97,Steven Heighton,1961-08-14 00:00:00
98,Langston Hughes,1901-02-01 00:00:00
99,Levi Romero,1984-04-12 00:00:00
100,Diane di Prima,1934-08-06 00:00:00
101,Primo Levi,1919-07-31 00:00:00
102,W. S. Merwin,1927-09-30 00:00:00
103,William Barnes,1801-02-22 00:00:00
104,Kamau Brathwaite,1930-05-11 00:00:00
105,Léopold Sédar Senghor,1906-10-09 00:00:00
106,Sara Teasdale,1884-08-08 00:00:00
107,Eavan Boland,1944-09-24 00:00:00
108,Henry Newbolt,1862-06-06 00:00:00
109,Jane Kenyon,1947-05-23 00:00:00
110,Ned Balbo,1959-11-19 00:00:00
111,Hervey Allen,1889-12-08 00:00:00
112,Fitz-Greene Halleck,1790-07-08 00:00:00
113,Judy Grahn,1940-07-28 00:00:00
114,Chinua Achebe,1930-11-16 00:00:00
115,Robin Blaser,1925-05-18 00:00:00
116,Lucille Lang Day,1947-12-05 00:00:00
117,Cesare Pavese,1908-09-09 00:00:00
118,Karl Shapiro,1913-11-10 00:00:00
119,Samuel Greenberg,1893-12-13 00:00:00
120,Deirdre O'Connor,1941-02-05 00:00:00
121,James Baldwin,1924-08-02 00:00:00
122,Eamon Grennan,1941-01-01 00:00:00
123,Sjohnna McCray,1972-03-07 00:00:00
124,Robin Morgan,1941-01-29 00:00:00
125,Liz Rosenberg,1955-02-03 00:00:00
126,Larry Neal,1937-09-05 00:00:00
127,Allan Johnston,1973-12-14 00:00:00
128,Paul Martin,1938-08-28 00:00:00
129,Seamus Heaney,1939-04-13 00:00:00
130,Muriel Rukeyser,1913-12-15 00:00:00
131,A. R. Ammons,1926-02-18 00:00:00
132,Chris Martin,1977-03-02 00:00:00
133,Robyn Schiff,1973-01-10 00:00:00
134,Tennessee Williams,1911-03-26 00:00:00
135,Jones Very,1813-08-28 00:00:00
136,Joseph Bruchac,1942-10-16 00:00:00
137,Kofi Awoonor,1935-03-13 00:00:00
138,Barbara Guest,1920-09-06 00:00:00
139,Ko Un,1933-08-01 00:00:00
140,Mary Oliver,1935-09-10 00:00:00
141,Sharon Olds,1942-11-19 00:00:00
142,John Ashbery,1927-07-28 00:00:00
143,Mary Ann Hoberman,1930-08-12 00:00:00
144,Robert Lowell,1917-03-01 00:00:00
145,Martin Carter,1927-06-07 00:00:00
146,Linda Gregg,1942-09-09 00:00:00
147,Sophie Jewett,1861-06-03 00:00:00
148,Tomas Tranströmer,1931-04-15 00:00:00
149,Aracelis Girmay,1977-12-10 00:00:00
150,Vinda Karandikar,1918-08-23 00:00:00
151,Ralph Fletcher,1953-03-17 00:00:00
152,LeAnne Howe,1951-04-29 00:00:00
153,Tato Laviera,1950-09-05 00:00:00
154,Donald Hall,1928-09-20 00:00:00
155,Witter Bynner,1881-08-10 00:00:00
156,René Magritte,1898-11-21 00:00:00
157,Mary Lamb,1764-12-03 00:00:00
158,Anne Sexton,1928-11-09 00:00:00
159,Isaac Watts,1674-07-17 00:00:00
160,Nikky Finney,1957-08-26 00:00:00
161,Rachel Wetzsteon,1967-11-25 00:00:00
162,Maya Angelou,1928-04-04 00:00:00
163,Frank Steele,1905-03-09 00:00:00
164,William Blake,1757-11-28 00:00:00
165,Chris Abani,1966-12-27 00:00:00
166,Jake Adam York,1972-08-10 00:00:00
167,W. D. Snodgrass,1926-01-05 00:00:00
168,Bill Dodds,1882-04-23 00:00:00
169,Geoffrey Hill,1932-06-18 00:00:00
170,Alexander Pope,1688-05-21 00:00:00
171,Judith Ortiz Cofer,1952-02-24 00:00:00
172,Richard Siken,1967-02-15 00:00:00
173,Todd Boss,1968-12-06 00:00:00
174,Adrienne Rich,1929-05-16 00:00:00
175,William Vaughn Moody,1869-07-08 00:00:00
176,Mary Mapes Dodge,1831-01-26 00:00:00
177,Colleen J. McElroy,1935-10-31 00:00:00
178,Julian Grenfell,1888-03-30 00:00:00
179,Grace Paley,1922-12-11 00:00:00
180,John Godfrey,1942-12-19 00:00:00
181,Jane Cooper,1924-10-09 00:00:00
182,Valerie Martínez,1961-06-26 00:00:00
183,Dora Malech,1981-09-04 00:00:00
184,Stanley Kunitz,1905-07-29 00:00:00
185,Rose Terry Cooke,1827-02-17 00:00:00
186,Stéphane Mallarmé,1842-03-18 00:00:00
187,Leslie Scalapino,1944-07-25 00:00:00
188,Amrita Pritam,1919-08-31 00:00:00
189,Kay Ryan,1945-09-21 00:00:00
190,Henry Dumas,1934-07-20 00:00:00
191,Christina Rossetti,1830-12-05 00:00:00
192,Jonathan Swift,1667-11-30 00:00:00
193,Eugene Field,1850-09-02 00:00:00
194,Mary Szybist,1970-09-20 00:00:00
195,Marilyn Nelson,1946-04-26 00:00:00
196,Craig Santos Perez,1980-02-06 00:00:00
197,Ishmael Reed,1938-02-22 00:00:00
198,Jamila Woods,1989-10-06 00:00:00
199,John McCrae,1872-11-30 00:00:00
200,Frank Marshall Davis,1905-12-31 00:00:00
201,Alicia Ostriker,1937-11-11 00:00:00
202,Sarah Helen Whitman,1803-01-19 00:00:00
203,Ada Limón,1975-04-29 00:00:00
204,Conrad Aiken,1889-08-05 00:00:00
205,Ilya Kaminsky,1977-04-18 00:00:00
206,Miroslav Holub,1923-09-13 00:00:00
207,Friedrich Hölderlin,1770-03-20 00:00:00
208,Patrick Shaw-Stewart,1888-08-17 00:00:00
209,Yusef Komunyakaa,1941-04-29 00:00:00
210,Victor Hernández Cruz,1949-02-06 00:00:00
211,Roald Dahl,1916-09-13 00:00:00
212,Todd Swift,1966-04-08 00:00:00
213,Jim Harrison,1937-12-11 00:00:00
214,Kenneth Patchen,1911-12-13 00:00:00
215,Nikki Giovanni,1943-06-07 00:00:00
216,James Weldon Johnson,1872-12-28 00:00:00
217,Margarita Engle,1951-09-02 00:00:00
218,Lucille Clifton,1936-06-27 00:00:00
219,Emanuel Xavier,1970-05-03 00:00:00
220,Karl Kirchwey,1956-02-25 00:00:00
221,Robert Louis Stevenson,1850-11-13 00:00:00
222,Percy Bysshe Shelley,1792-08-04 00:00:00
223,Omar Pérez,1976-09-20 00:00:00
224,Rae Armantrout,1947-04-13 00:00:00
225,Lawrence Ferlinghetti,1919-03-24 00:00:00
226,Clive James,1939-10-07 00:00:00
227,George Meredith,1828-02-12 00:00:00
228,Ron Silliman,1946-08-05 00:00:00
229,Donald Justice,1925-08-12 00:00:00
230,Marianne Moore,1887-11-15 00:00:00
231,Coventry Patmore,1823-07-23 00:00:00
232,Antonio Machado,1875-07-26 00:00:00
233,Dennis O'Driscoll,1954-01-01 00:00:00
234,Janice Gould,1949-04-01 00:00:00
235,Hannah More,1745-02-02 00:00:00
236,Edith Sitwell,1887-09-07 00:00:00
237,Terrance Hayes,1971-11-18 00:00:00
238,Tyler Ford,1990-10-25 00:00:00
239,Lewis Warsh,1944-11-09 00:00:00
240,Irving Feldman,1928-09-22 00:00:00
241,C. Dale Young,1969-04-18 00:00:00
242,Elizabeth Barrett Browning,1806-03-06 00:00:00
243,Jerzy Ficowski,1924-10-04 00:00:00
244,Mark McMorris,1993-12-09 00:00:00
245,Sandra Beasley,1980-05-05 00:00:00
246,Ross Gay,1974-08-01 00:00:00
247,Ambrose Bierce,1842-06-24 00:00:00
248,Kirill Medvedev,1975-06-19 00:00:00
249,John Clare,1793-07-13 00:00:00
250,Miguel Hernández,1910-10-30 00:00:00
251,John Gay,1685-06-30 00:00:00
252,Countee Cullen,1903-05-30 00:00:00
253,E. E. Cummings,1894-10-14 00:00:00
254,Charles Bukowski,1920-08-16 00:00:00
255,Arseny Tarkovsky,1907-06-24 00:00:00
256,Katherine Mansfield,1888-10-14 00:00:00
257,Leigh Hunt,1784-10-19 00:00:00
258,Richard Garcia,1981-09-04 00:00:00
259,Mark Strand,1934-04-11 00:00:00
260,Stephen Crane,1871-11-01 00:00:00
261,Adrian Castro,1990-06-04 00:00:00
262,T. S. Eliot,1888-09-26 00:00:00
263,Max Ritvo,1990-12-19 00:00:00
264,Ron Rash,1953-09-25 00:00:00
265,Dorianne Laux,1952-01-10 00:00:00
266,Paul Celan,1920-11-23 00:00:00
267,William Cullen Bryant,1794-11-03 00:00:00
268,Joy Harjo,1951-05-09 00:00:00
269,George Oppen,1908-04-24 00:00:00
270,Bertolt Brecht,1898-02-10 00:00:00
271,Malcolm Cowley,1898-08-24 00:00:00
272,Robert Creeley,1926-05-21 00:00:00
273,Carl Sandburg,1878-01-06 00:00:00
274,Siegfried Sassoon,1886-09-08 00:00:00
275,Kelly Cherry,1940-12-21 00:00:00
276,Ciaran Carson,1948-10-09 00:00:00
277,Lizette Woodworth Reese,1856-01-09 00:00:00
278,Amiri Baraka,1934-10-07 00:00:00
279,Carl Dennis,1939-09-17 00:00:00
280,James Joyce,1882-02-02 00:00:00
281,Miller Williams,1930-04-08 00:00:00
282,John Gallaher,1965-01-06 00:00:00
283,John Cage,1912-09-05 00:00:00
284,Carolyn Kizer,1925-12-10 00:00:00
285,Joshua Jennifer Espinoza,1987-12-17 00:00:00
286,Jean Blewett,1862-11-04 00:00:00
287,Dana Gioia,1950-12-24 00:00:00
288,Simon Armitage,1963-05-26 00:00:00
289,Weldon Kees,1914-02-24 00:00:00
290,Naomi Shihab Nye,1952-03-12 00:00:00
291,Frank O'Hara,1926-03-27 00:00:00
292,Maggie Smith,1934-12-28 00:00:00
293,Szilárd Borbély,1963-11-01 00:00:00
294,Chrystos,1946-11-07 00:00:00
295,John Trudell,1946-02-15 00:00:00
296,John Bunyan,1628-11-30 00:00:00
297,Arthur Hugh Clough,1819-01-01 00:00:00
298,Timothy Steele,1948-01-22 00:00:00
299,Delmore Schwartz,1913-12-08 00:00:00
300,Ralph Waldo Emerson,1803-05-25 00:00:00
301,Mathilde Blind,1841-03-21 00:00:00
302,Ruth Stone,1915-06-08 00:00:00
303,Daniel Bailey,1986-09-09 00:00:00
304,Joyce Kilmer,1886-12-06 00:00:00
305,Günter Eich,1907-02-01 00:00:00
306,Hartley Coleridge,1796-09-19 00:00:00
307,Robert Bridges,1844-10-23 00:00:00
308,Susan Howe,1937-06-10 00:00:00
309,A. E. Housman,1859-03-26 00:00:00
310,Ravi Shankar,1920-04-07 00:00:00
311,Adam Zagajewski,1945-06-21 00:00:00
312,Al Maginnes,1897-04-05 00:00:00
313,Matthea Harvey,1973-09-03 00:00:00
314,Michael S. Harper,1938-03-18 00:00:00
315,Margaret Atwood,1939-11-18 00:00:00
316,John Dryden,1631-08-19 00:00:00
317,Alice Notley,1945-11-08 00:00:00
318,George Elliott Clarke,1960-02-12 00:00:00
319,Andrei Codrescu,1946-12-20 00:00:00
320,Chris Wallace-Crabbe,1934-05-06 00:00:00
321,Warren Hastings,1732-12-06 00:00:00
322,N. Scott Momaday,1934-02-27 00:00:00
323,Hart Crane,1899-07-21 00:00:00
324,Pauli Murray,1910-11-20 00:00:00
325,Robert Graves,1895-07-24 00:00:00
326,Elinor Wylie,1885-09-07 00:00:00
327,Edgar Lee Masters,1868-08-23 00:00:00
328,Edwin Markham,1852-04-23 00:00:00
329,Deborah Warren,1946-11-09 00:00:00
330,E. A. Markham,1939-10-01 00:00:00
331,Gerald Stern,1925-02-22 00:00:00
332,Franny Choi,1989-02-11 00:00:00
333,Bei Dao,1949-08-02 00:00:00
334,Rabindranath Tagore,1861-05-07 00:00:00
335,William Cowper,1731-11-26 00:00:00
336,William Wordsworth,1770-04-07 00:00:00
337,Marjorie Pickthall,1883-09-14 00:00:00
338,Deborah Digges,1950-02-06 00:00:00
339,Bob Kaufman,1925-04-18 00:00:00
340,Jen Bryant,1960-05-13 00:00:00
341,Wendell Berry,1934-08-05 00:00:00
342,Gregory Maguire,1954-06-09 00:00:00
343,Robert Bly,1926-12-23 00:00:00
344,Kathleen Flenniken,1960-10-30 00:00:00
345,Allen Ginsberg,1926-06-03 00:00:00
346,Pat Schneider,1934-06-01 00:00:00
347,Abraham Lincoln,1809-02-12 00:00:00
348,Mary Jo Salter,1954-08-15 00:00:00
349,Jeanne Murray Walker,1944-05-27 00:00:00
350,Adah Isaacs Menken,1835-06-15 00:00:00
351,Mary Robinson,1944-05-21 00:00:00
352,Alfred Corn,1943-08-14 00:00:00
353,Claudia Emerson,1957-01-13 00:00:00
354,Elizabeth Bentley,1908-01-01 00:00:00
355,Rick Campbell,1970-12-20 00:00:00
356,Allen Grossman,1932-01-07 00:00:00
357,Paul Verlaine,1844-03-30 00:00:00
358,Eliza Griswold,1973-02-09 00:00:00
359,John Updike,1932-03-18 00:00:00
360,Chris Tse,1989-06-19 00:00:00
361,James Laughlin,1914-10-30 00:00:00
362,Richard Blanco,1968-02-15 00:00:00
363,Peter Dale Scott,1929-01-11 00:00:00
364,Allen Tate,1899-11-19 00:00:00
365,Jeramy Dodds,1974-12-04 00:00:00
366,Charles Olson,1910-12-27 00:00:00
367,Quincy Troupe,1939-07-22 00:00:00
368,Tess Gallagher,1943-07-21 00:00:00
369,Fred D'Aguiar,1960-02-02 00:00:00
370,Albert Wendt,1939-10-27 00:00:00
371,Robert Bringhurst,1946-10-16 00:00:00
372,Derek Mahon,1941-11-23 00:00:00
373,Michael Robbins,1930-11-14 00:00:00
374,Chitra Banerjee Divakaruni,1956-07-29 00:00:00
375,Annie Finch,1956-10-31 00:00:00
376,Frank Asch,1946-08-06 00:00:00
377,Philip Lamantia,1927-10-23 00:00:00
378,Jackie Fox,1959-12-20 00:00:00
379,Margaret Fuller,1810-05-23 00:00:00
380,Stanley Plumly,1939-05-23 00:00:00
381,John Rodriguez,1937-02-12 00:00:00
382,Craig Dworkin,1969-01-18 00:00:00
383,Wanda Coleman,1946-11-13 00:00:00
384,Charlotte Brontë,1816-04-21 00:00:00
385,Robert Penn Warren,1905-04-24 00:00:00
386,Albert Garcia,1970-02-01 00:00:00
387,Richard Wilbur,1921-03-01 00:00:00
388,Kathleen Jamie,1962-05-13 00:00:00
389,Matthew Arnold,1822-12-24 00:00:00
390,Gregory Pardlo,1968-11-24 00:00:00
391,Essex Hemphill,1957-04-16 00:00:00
392,Seth Abramson,1976-10-31 00:00:00
393,Jane Hirshfield,1953-02-24 00:00:00
394,Oliver Baez Bendorf,1987-06-21 00:00:00
395,Thomas Carlyle,1795-12-04 00:00:00
396,James K. Baxter,1926-06-29 00:00:00
397,A. B. Spellman,1935-08-12 00:00:00
398,Joan Mitchell,1926-02-12 00:00:00
399,George Santayana,1863-12-16 00:00:00
400,Thomas Hardy,1840-06-02 00:00:00
401,R. S. Thomas,1913-03-29 00:00:00
402,Rick Barot,1969-02-19 00:00:00
403,Linda Pastan,1932-05-27 00:00:00
404,Jennifer Maiden,1949-04-07 00:00:00
405,Mark Bibbins,1968-01-01 00:00:00
406,Michael Lista,1983-09-01 00:00:00
407,Dan Brown,1964-06-22 00:00:00
408,Emma Lazarus,1849-07-22 00:00:00
409,Rupert Brooke,1887-08-03 00:00:00
410,Ben Lerner,1979-02-04 00:00:00
411,Nestor Gomez,1875-09-08 00:00:00
412,Rick Snyder,1958-08-19 00:00:00
413,Mina Loy,1882-12-27 00:00:00
414,John Yau,1950-06-05 00:00:00
415,Edward Lear,1812-05-12 00:00:00
416,Edith Wharton,1862-01-24 00:00:00
417,Ron Padgett,1942-06-17 00:00:00
418,Carter Revard,1931-03-25 00:00:00
419,D. H. Lawrence,1885-09-11 00:00:00
420,Stephen Connolly,1989-11-29 00:00:00
421,Federico García Lorca,1898-06-05 00:00:00
422,Pablo Neruda,1904-07-12 00:00:00
423,Stevie Smith,1902-09-20 00:00:00
424,Carmen Giménez Smith,1971-02-20 00:00:00
425,Anne Carson,1950-06-21 00:00:00
426,Ernesto Cardenal,1925-01-20 00:00:00
427,Marina Tsvetaeva,1892-10-08 00:00:00
428,Mary Karr,1955-01-16 00:00:00
429,Claude McKay,1889-09-15 00:00:00
430,Philip Whalen,1923-10-20 00:00:00
431,Dahlia Ravikovitch,1936-11-17 00:00:00
432,Giacomo Leopardi,1798-06-29 00:00:00
433,Tom Raworth,1938-07-19 00:00:00
434,Charles Wesley,1707-12-18 00:00:00
435,Octavio Paz,1914-03-31 00:00:00
436,George Szirtes,1948-11-29 00:00:00
437,Brian Russell,1978-02-05 00:00:00
438,Marjorie Agosín,1955-06-15 00:00:00
439,John Crowe Ransom,1888-04-30 00:00:00
440,Leslie Harrison,1903-05-09 00:00:00
441,Haki R. Madhubuti,1942-02-23 00:00:00
442,Carol Ann Duffy,1955-12-23 00:00:00
443,Patti Smith,1946-12-30 00:00:00
444,Vanessa Place,1968-05-10 00:00:00
445,Algernon Charles Swinburne,1837-04-05 00:00:00
446,David Wagoner,1926-06-05 00:00:00
447,Terry Wolverton,1954-08-23 00:00:00
448,Louise Bogan,1897-08-11 00:00:00
449,Bryan Thao Worra,1973-01-01 00:00:00
450,Christian Bök,1966-08-10 00:00:00
451,William Carlos Williams,1883-09-17 00:00:00
452,Maxine Kumin,1925-06-06 00:00:00
453,Ricardo Pau-Llosa,1954-05-17 00:00:00
454,Jimmy Santiago Baca,1952-01-02 00:00:00
455,Tishani Doshi,1975-12-09 00:00:00
456,Andrew Motion,1952-10-26 00:00:00
457,Steven Cramer,1953-07-24 00:00:00
458,Robert Burns,1759-01-25 00:00:00
459,Eve Merriam,1916-07-19 00:00:00
460,Susan Wheeler,1955-07-16 00:00:00
461,Thomas Love Peacock,1785-10-18 00:00:00
462,Basil Bunting,1900-03-01 00:00:00
463,Charles Simic,1938-05-09 00:00:00
464,Bruce Smith,1963-06-18 00:00:00
465,Wisława Szymborska,1923-07-02 00:00:00
466,Edna St. Vincent Millay,1892-02-22 00:00:00
467,Jack Kerouac,1922-03-12 00:00:00
468,Rita Dove,1952-08-28 00:00:00
469,Thomas Moore,1779-05-28 00:00:00
470,Vijay Seshadri,1954-02-13 00:00:00
471,Warsan Shire,1988-08-01 00:00:00
472,Charles Lamb,1775-02-10 00:00:00
473,Ursula K. Le Guin,1929-10-21 00:00:00
474,Chana Bloch,1940-03-15 00:00:00
475,Simon J. Ortiz,1941-05-27 00:00:00
476,Göran Sonnevi,1939-10-03 00:00:00
477,Dorothy Parker,1893-08-22 00:00:00
478,George Crabbe,1754-12-24 00:00:00
479,Sarah Orne Jewett,1849-09-03 00:00:00
480,Peter Boyle,1935-10-18 00:00:00
481,Lydia Davis,1947-07-15 00:00:00
482,Taylor Mali,1965-03-28 00:00:00
483,Thulani Davis,1949-07-19 00:00:00
484,Francis Scott Key,1779-08-01 00:00:00
485,Daniel Scott Tysdal,1978-05-26 00:00:00
486,Lewis Carroll,1832-01-27 00:00:00
487,Bruce Mackinnon,1978-10-17 00:00:00
488,Alurista,1947-08-08 00:00:00
489,Richard Eberhart,1904-04-05 00:00:00
490,Thomas Hood,1799-05-23 00:00:00
491,Michael Prior,1973-09-06 00:00:00
492,Walter Savage Landor,1775-01-30 00:00:00
493,Guillaume Apollinaire,1880-08-26 00:00:00
494,Gerard Malanga,1943-03-20 00:00:00
495,Ha Jin,1956-02-21 00:00:00
496,Ben Belitt,1911-05-02 00:00:00
497,Francisco X. Alarcón,1954-02-21 00:00:00
498,Thomas Reiter,1958-05-23 00:00:00
499,Robert Hayden,1913-08-04 00:00:00
500,Louis MacNeice,1907-09-12 00:00:00
501,Emily Dickinson,1830-12-10 00:00:00
502,James Whitcomb Riley,1849-10-07 00:00:00
503,Cathy Song,1955-08-20 00:00:00
504,Léonie Adams,1899-12-09 00:00:00
505,Yuki Tanaka,1981-08-19 00:00:00
506,Robert Browning,1812-05-07 00:00:00
507,Anne Brontë,1820-01-17 00:00:00
508,Joanne Kyger,1934-11-19 00:00:00
509,Gerard Manley Hopkins,1844-07-28 00:00:00
510,Kahlil Gibran,1883-01-06 00:00:00
511,Seán Ó Ríordáin,1917-12-03 00:00:00
512,Louis Simpson,1923-03-27 00:00:00
513,Oliver Goldsmith,1728-11-10 00:00:00
514,Philip Larkin,1922-08-09 00:00:00
515,William Faulkner,1897-09-25 00:00:00
516,Randall Jarrell,1914-05-06 00:00:00
517,William Archila,1968-01-01 00:00:00
518,Shel Silverstein,1930-09-25 00:00:00
519,Ocean Vuong,1988-10-14 00:00:00
520,Steve Kistulentz,1967-01-18 00:00:00
521,Samuel Johnson,1709-09-18 00:00:00
522,Yehuda Amichai,1924-05-03 00:00:00
523,Ntozake Shange,1948-10-18 00:00:00
524,June Jordan,1936-07-09 00:00:00
525,Mia Kang,1988-12-30 00:00:00
526,Cedar Sigo,1978-02-02 00:00:00
527,Andrew Marvell,1621-03-31 00:00:00
528,Richard Brautigan,1935-01-30 00:00:00
529,Mark Doty,1953-08-10 00:00:00
530,Jean Ingelow,1820-03-17 00:00:00
531,Sylvia Plath,1932-10-27 00:00:00
532,Margaret Walker,1915-07-07 00:00:00
533,Herman Melville,1819-08-01 00:00:00
534,Susan Griffin,1943-01-26 00:00:00
535,Théophile Gautier,1811-08-30 00:00:00
536,David Biespiel,1964-02-18 00:00:00
537,David Orr,1944-10-04 00:00:00
538,David Lau,1966-01-13 00:00:00
539,Eugénio de Andrade,1923-01-19 00:00:00
540,Rainer Maria Rilke,1875-12-04 00:00:00
541,Wallace Stevens,1879-10-02 00:00:00
542,Thomas Lux,1946-12-10 00:00:00
543,Louise Glück,1943-04-22 00:00:00
544,P. K. Page,1916-11-23 00:00:00
545,William Lisle Bowles,1762-09-24 00:00:00
546,Isaac Rosenberg,1890-11-25 00:00:00
547,Robert Gernhardt,1937-12-13 00:00:00
548,Jacqueline Woodson,1963-02-12 00:00:00
549,Pierre Martory,1920-12-01 00:00:00
550,Emily Brontë,1818-07-30 00:00:00
551,Larry Levis,1946-09-30 00:00:00
552,Barbara Perez,1938-01-04 00:00:00
553,Anne Bradstreet,1612-03-20 00:00:00
554,Bill Manhire,1946-12-27 00:00:00
555,Joyce Carol Oates,1938-06-16 00:00:00
556,Walt Whitman,1819-05-31 00:00:00
557,Yone Noguchi,1875-12-08 00:00:00
558,Rebecca Gayle Howell,1975-08-10 00:00:00
559,William Makepeace Thackeray,1811-07-18 00:00:00
560,Marin Sorescu,1936-02-29 00:00:00
561,Stephen Dunn,1939-06-24 00:00:00
562,James Arthur,1988-03-02 00:00:00
563,Frank Stanford,1948-08-01 00:00:00
564,Kim Addonizio,1954-07-31 00:00:00
565,Gary Snyder,1930-05-08 00:00:00
566,John Keats,1795-10-31 00:00:00
567,C. K. Stead,1932-10-17 00:00:00
568,Kobayashi Issa,1763-06-15 00:00:00
569,Julia Ward Howe,1819-05-27 00:00:00
570,Roy White,1943-12-27 00:00:00
571,Oscar Wilde,1854-10-16 00:00:00
572,Jessie Pope,1869-03-18 00:00:00
573,Joshua Clover,1962-12-30 00:00:00
574,Raffaello Baldini,1924-11-24 00:00:00
575,Ivor Gurney,1890-08-28 00:00:00
576,Yoko Ono,1933-02-18 00:00:00
577,Christopher Smart,1722-04-11 00:00:00
578,Denis Johnson,1949-07-01 00:00:00
579,Robert Frost,1874-03-26 00:00:00
580,Billy Collins,1941-03-22 00:00:00
581,G. K. Chesterton,1874-05-29 00:00:00
582,Coleman Barks,1937-04-23 00:00:00
583,Kevin Killian,1952-12-24 00:00:00
584,Oliver Wendell Holmes Sr.,1809-08-29 00:00:00
